dip152_1,1,DiPol_AlF,1.4729
dip152_2,1,DiPol_BF,0.8194
dip152_3,1,DiPol_BH2Cl,0.6838
dip152_4,1,DiPol_BH2F,0.8269
dip152_5,1,DiPol_BHCl2,0.6684
dip152_6,1,DiPol_BHF2,0.9578
dip152_7,1,DiPol_CH2BH,0.6238
dip152_8,1,DiPol_CH2BOH,2.2558
dip152_9,1,DiPol_CH3BH2,0.5751
dip152_10,1,DiPol_CH3BO,3.6779
dip152_11,1,DiPol_CH3Cl,1.8981
dip152_12,1,DiPol_CH3F,1.8083
dip152_13,1,DiPol_CH3Li,5.8304
dip152_14,1,DiPol_CH3NH2,1.3876
dip152_15,1,DiPol_CH3OH,1.7091
dip152_16,1,DiPol_CH3SH,1.5906
dip152_17,1,DiPol_ClCN,2.8496
dip152_18,1,DiPol_ClF,0.8802
dip152_19,1,DiPol_CO,0.1172
dip152_20,1,DiPol_CS,1.9692
dip152_21,1,DiPol_CSO,0.7327
dip152_22,1,DiPol_FCN,2.1756
dip152_23,1,DiPol_FNO,1.6971
dip152_24,1,DiPol_H2O,1.8601
dip152_25,1,DiPol_H2O-H2O,2.7303
dip152_26,1,DiPol_H2O-NH3,3.5004
dip152_27,1,DiPol_H2S-H2S,0.9181
dip152_28,1,DiPol_H2S-HCl,2.1328
dip152_29,1,DiPol_HBH2BH,0.8429
dip152_30,1,DiPol_HBO,2.7322
dip152_31,1,DiPol_HBS,1.3753
dip152_32,1,DiPol_HCCCl,0.5009
dip152_33,1,DiPol_HCCF,0.7452
dip152_34,1,DiPol_HCHO,2.3927
dip152_35,1,DiPol_HCl,1.1055
dip152_36,1,DiPol_HCl-HCl,1.7766
dip152_37,1,DiPol_HCN,3.0065
dip152_38,1,DiPol_HCNO,2.956
dip152_39,1,DiPol_HCOF,2.1169
dip152_40,1,DiPol_HCONH2,3.9152
dip152_41,1,DiPol_HCOOH,1.3835
dip152_42,1,DiPol_HF,1.8059
dip152_43,1,DiPol_HF-HF,3.3991
dip152_44,1,DiPol_HN3,1.6603
dip152_45,1,DiPol_HNC,3.0818
dip152_46,1,DiPol_HNCO,2.0639
dip152_47,1,DiPol_HOCl,1.5216
dip152_48,1,DiPol_HOCN,3.7998
dip152_49,1,DiPol_HOOH,1.5732
dip152_50,1,DiPol_LiBH4,6.1281
dip152_51,1,DiPol_LiCl,7.096
dip152_52,1,DiPol_LiCN,6.9851
dip152_53,1,DiPol_LiF,6.2879
dip152_54,1,DiPol_LiH,5.8286
dip152_55,1,DiPol_LiOH,4.5664
dip152_56,1,DiPol_N2H4,2.7179
dip152_57,1,DiPol_NaCl,9.0066
dip152_58,1,DiPol_NaCN,8.8903
dip152_59,1,DiPol_NaF,8.1339
dip152_60,1,DiPol_NaH,6.3966
dip152_61,1,DiPol_NaOH,6.769
dip152_62,1,DiPol_NH2Cl,1.9468
dip152_63,1,DiPol_NH2F,2.2688
dip152_64,1,DiPol_NH2OH,0.7044
dip152_65,1,DiPol_NH3,1.5289
