W4-17-RE-MR_0,-1,W4-17_cl2o,-1,W4-17_clo3,1,W4-17_cloo,1,W4-17_cloocl,-0.006691537
W4-17-RE-MR_1,-1,W4-17_cl2o,-1,W4-17_clo3,1,W4-17_cloocl,1,W4-17_oclo,-0.009480342
W4-17-RE-MR_2,-1,W4-17_cl2o,-1,W4-17_fo2,1,W4-17_cloocl,1,W4-17_of,0.05406297
W4-17-RE-MR_3,-1,W4-17_cl2o,-1,W4-17_foof,1,W4-17_cloocl,1,W4-17_f2o,0.017314493
W4-17-RE-MR_4,-1,W4-17_cl2o,-1,W4-17_o3,1,W4-17_cloo,1,W4-17_oclo,-0.008876367
W4-17-RE-MR_5,-1,W4-17_clo3,-1,W4-17_cloo,1,W4-17_cloocl,1,W4-17_o3,-0.000603975
W4-17-RE-MR_6,-1,W4-17_clo3,-1,W4-17_f2o,1,W4-17_cloo,1,W4-17_foof,-0.02400603
W4-17-RE-MR_7,-1,W4-17_clo3,-1,W4-17_f2o,1,W4-17_foof,1,W4-17_oclo,-0.026794835
W4-17-RE-MR_8,-1,W4-17_clo3,-1,W4-17_oclo,1,W4-17_cloocl,1,W4-17_o3,0.002184829
W4-17-RE-MR_9,-1,W4-17_clo3,-1,W4-17_of,1,W4-17_cloo,1,W4-17_fo2,-0.060754507
W4-17-RE-MR_10,-1,W4-17_clo3,-1,W4-17_of,1,W4-17_fo2,1,W4-17_oclo,-0.063543312
W4-17-RE-MR_11,-1,W4-17_f2o,-1,W4-17_fo2,1,W4-17_foof,1,W4-17_of,0.036748477
