W4-17-RE-MR_0,-1,W4-17_cl2o,-1,W4-17_clo3,1,W4-17_cloo,1,W4-17_cloocl,-4.198999691333
W4-17-RE-MR_1,-1,W4-17_cl2o,-1,W4-17_clo3,1,W4-17_cloocl,1,W4-17_oclo,-5.948999928078
W4-17-RE-MR_2,-1,W4-17_cl2o,-1,W4-17_fo2,1,W4-17_cloocl,1,W4-17_of,33.925000241730004
W4-17-RE-MR_3,-1,W4-17_cl2o,-1,W4-17_foof,1,W4-17_cloocl,1,W4-17_f2o,10.865000187937001
W4-17-RE-MR_4,-1,W4-17_cl2o,-1,W4-17_o3,1,W4-17_cloo,1,W4-17_oclo,-5.570000179802999
W4-17-RE-MR_5,-1,W4-17_clo3,-1,W4-17_cloo,1,W4-17_cloocl,1,W4-17_o3,-0.378999748275
W4-17-RE-MR_6,-1,W4-17_clo3,-1,W4-17_f2o,1,W4-17_cloo,1,W4-17_foof,-15.063999879270002
W4-17-RE-MR_7,-1,W4-17_clo3,-1,W4-17_f2o,1,W4-17_foof,1,W4-17_oclo,-16.814000116015
W4-17-RE-MR_8,-1,W4-17_clo3,-1,W4-17_oclo,1,W4-17_cloocl,1,W4-17_o3,1.3709998609610001
W4-17-RE-MR_9,-1,W4-17_clo3,-1,W4-17_of,1,W4-17_cloo,1,W4-17_fo2,-38.123999933063
W4-17-RE-MR_10,-1,W4-17_clo3,-1,W4-17_of,1,W4-17_fo2,1,W4-17_oclo,-39.874000169808006
W4-17-RE-MR_11,-1,W4-17_f2o,-1,W4-17_fo2,1,W4-17_foof,1,W4-17_of,23.060000053793
