W4-17-RE-MR_0,-1,W4-17_cl2o,-1,W4-17_clo3,1,W4-17_cloo,1,W4-17_cloocl,-17.568617010426
W4-17-RE-MR_1,-1,W4-17_cl2o,-1,W4-17_clo3,1,W4-17_cloocl,1,W4-17_oclo,-24.890618960315997
W4-17-RE-MR_2,-1,W4-17_cl2o,-1,W4-17_fo2,1,W4-17_cloocl,1,W4-17_of,141.94221960906
W4-17-RE-MR_3,-1,W4-17_cl2o,-1,W4-17_foof,1,W4-17_cloocl,1,W4-17_f2o,45.459166742514
W4-17-RE-MR_4,-1,W4-17_cl2o,-1,W4-17_o3,1,W4-17_cloo,1,W4-17_oclo,-23.304883805766
W4-17-RE-MR_5,-1,W4-17_clo3,-1,W4-17_cloo,1,W4-17_cloocl,1,W4-17_o3,-1.58573515455
W4-17-RE-MR_6,-1,W4-17_clo3,-1,W4-17_f2o,1,W4-17_cloo,1,W4-17_foof,-63.02778375294
W4-17-RE-MR_7,-1,W4-17_clo3,-1,W4-17_f2o,1,W4-17_foof,1,W4-17_oclo,-70.34978570283
W4-17-RE-MR_8,-1,W4-17_clo3,-1,W4-17_oclo,1,W4-17_cloocl,1,W4-17_o3,5.736264169842
W4-17-RE-MR_9,-1,W4-17_clo3,-1,W4-17_of,1,W4-17_cloo,1,W4-17_fo2,-159.510836619486
W4-17-RE-MR_10,-1,W4-17_clo3,-1,W4-17_of,1,W4-17_fo2,1,W4-17_oclo,-166.832838569376
W4-17-RE-MR_11,-1,W4-17_f2o,-1,W4-17_fo2,1,W4-17_foof,1,W4-17_of,96.483052866546
